hola,ciao,bonjour,hallo,hello
gracias,grazie,merci,danke,thank you
casa,casa,maison,haus,house
agua,acqua,eau,wasser,water
libro,libro,livre,buch,book
perro,cane,chien,hund,dog
gato,gatto,chat,katze,cat
sol,sole,soleil,sonne,sun
luna,luna,lune,mond,moon
amor,amore,amour,liebe,love
tiempo,tempo,temps,zeit,time
ciudad,città,ville,stadt,city
amigo,amico,ami,freund,friend
madre,madre,mère,mutter,mother
padre,padre,père,vater,father
escuela,scuola,école,schule,school
trabajo,lavoro,travail,arbeit,work
comida,cibo,nourriture,essen,food
dia,giorno,jour,tag,day
noche,notte,nuit,nacht,night
verde,verde,vert,grün,green
rojo,rosso,rouge,rot,red
azul,blu,bleu,blau,blue
blanco,bianco,blanc,weiß,white
negro,nero,noir,schwarz,black
grande,grande,grand,groß,big
pequeño,piccolo,petit,klein,small
bueno,buono,bon,gut,good
feliz,felice,heureux,glücklich,happy
nuevo,nuovo,nouveau,neu,new
